subject,run,condition,configuration_id,feature_name,feature_unit,difference_index,from_window_index,to_window_index,from_window_start_sec,from_window_end_sec,to_window_start_sec,to_window_end_sec,difference_time_sec,from_feature_value,to_feature_value,successive_difference,absolute_successive_difference,mean_successive_difference,centered_successive_difference,squared_deviation_from_mean,variance_contribution_fraction,variance_contribution_percent,absolute_difference_rank,variance_contribution_rank,selected_event_change,selected_event_relation
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,11,11,12,11.0,13.0,12.0,14.0,14.0,3.913282319334165e-11,3.113363468015894e-11,-7.999188513182711e-12,7.999188513182711e-12,-2.527278174463104e-13,-7.7464606957364e-12,6.000765331058888e-23,0.0006695058170890794,0.06695058170890794,31,32,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,12,12,13,12.0,14.0,13.0,15.0,15.0,3.113363468015894e-11,6.312923015250507e-11,3.199559547234613e-11,3.199559547234613e-11,-2.527278174463104e-13,3.224832328979244e-11,1.0399543550029695e-21,0.011602778175275674,1.1602778175275674,9,9,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,13,13,14,13.0,15.0,14.0,16.0,16.0,6.312923015250507e-11,3.252209914943961e-11,-3.0607131003065457e-11,3.0607131003065457e-11,-2.527278174463104e-13,-3.035440318561915e-11,9.213897927551259e-22,0.010279952506444789,1.027995250644479,11,11,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,14,14,15,14.0,16.0,15.0,17.0,17.0,3.252209914943961e-11,4.6172086432683046e-11,1.3649987283243436e-11,1.3649987283243436e-11,-2.527278174463104e-13,1.3902715100689746e-11,1.932854871709467e-22,0.002156487562512475,0.2156487562512475,23,23,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,15,15,16,15.0,17.0,16.0,18.0,18.0,4.6172086432683046e-11,5.304498565775396e-11,6.872899225070912e-12,6.872899225070912e-12,-2.527278174463104e-13,7.125627042517222e-12,5.077456074905273e-23,0.0005664921373560051,0.05664921373560051,34,34,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,16,16,17,16.0,18.0,17.0,19.0,19.0,5.304498565775396e-11,3.8094308589888325e-11,-1.4950677067865633e-11,1.4950677067865633e-11,-2.527278174463104e-13,-1.4697949250419324e-11,2.16029712167902e-22,0.0024102450434429516,0.24102450434429515,20,20,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,17,17,18,17.0,19.0,18.0,20.0,20.0,3.8094308589888325e-11,4.6590219490905115e-11,8.49591090101679e-12,8.49591090101679e-12,-2.527278174463104e-13,8.748638718463101e-12,7.653867942619169e-23,0.0008539425936709524,0.08539425936709523,30,29,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,18,18,19,18.0,20.0,19.0,21.0,21.0,4.6590219490905115e-11,4.507227917455705e-11,-1.5179403163480633e-12,1.5179403163480633e-12,-2.527278174463104e-13,-1.2652124989017528e-12,1.6007626673772179e-24,1.785972052666429e-05,0.001785972052666429,53,53,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,19,19,20,19.0,21.0,20.0,22.0,22.0,4.507227917455705e-11,3.57952984169865e-11,-9.276980757570554e-12,9.276980757570554e-12,-2.527278174463104e-13,-9.024252940124243e-12,8.143714112734105e-23,0.0009085947658986049,0.09085947658986049,28,28,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,20,20,21,20.0,22.0,21.0,23.0,23.0,3.57952984169865e-11,2.839834363181843e-11,-7.396954785168068e-12,7.396954785168068e-12,-2.527278174463104e-13,-7.144226967721758e-12,5.103997896632282e-23,0.0005694534103040406,0.05694534103040406,33,33,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,21,21,22,21.0,23.0,22.0,24.0,24.0,2.839834363181843e-11,3.5028042079973393e-11,6.629698448154963e-12,6.629698448154963e-12,-2.527278174463104e-13,6.882426265601274e-12,4.73677913014383e-23,0.0005284827862678376,0.052848278626783755,36,36,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,22,22,23,22.0,24.0,23.0,25.0,25.0,3.5028042079973393e-11,3.958809706351897e-11,4.560054983545576e-12,4.560054983545576e-12,-2.527278174463104e-13,4.812782800991886e-12,2.3162878289523306e-23,0.00025842839870936484,0.025842839870936486,42,42,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,23,23,24,23.0,25.0,24.0,26.0,26.0,3.958809706351897e-11,2.2324590666677288e-10,1.8365780960325391e-10,1.8365780960325391e-10,-2.527278174463104e-13,1.8391053742070022e-10,3.382308577437077e-20,0.37736440984683955,37.73644098468395,2,2,True,enter_selected_24_26_window
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,24,24,25,24.0,26.0,25.0,27.0,27.0,2.2324590666677288e-10,2.416687051052461e-11,-1.9907903615624828e-10,1.9907903615624828e-10,-2.527278174463104e-13,-1.9882630833880197e-10,3.9531900887636354e-20,0.44105770088814944,44.10577008881494,1,1,True,exit_selected_24_26_window
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,25,25,26,25.0,27.0,26.0,28.0,28.0,2.416687051052461e-11,5.6201174431403715e-11,3.203430392087911e-11,3.203430392087911e-11,-2.527278174463104e-13,3.228703173832542e-11,1.0424524184716329e-21,0.011630649087258707,1.1630649087258706,8,8,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,26,26,27,26.0,28.0,27.0,29.0,29.0,5.6201174431403715e-11,4.971198902653748e-11,-6.489185404866236e-12,6.489185404866236e-12,-2.527278174463104e-13,-6.236457587419925e-12,3.889340323968755e-23,0.0004339339780642145,0.04339339780642145,37,37,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,27,27,28,27.0,29.0,28.0,30.0,30.0,4.971198902653748e-11,7.183756823186374e-11,2.212557920532626e-11,2.212557920532626e-11,-2.527278174463104e-13,2.237830702277257e-11,5.007886252054721e-22,0.005587302272457688,0.5587302272457688,13,13,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,28,28,29,28.0,30.0,29.0,31.0,31.0,7.183756823186374e-11,4.0424785399486726e-11,-3.1412782832377014e-11,3.1412782832377014e-11,-2.527278174463104e-13,-3.1160055014930705e-11,9.709490285335082e-22,0.010832885254412478,1.0832885254412479,10,10,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,29,29,30,29.0,31.0,30.0,32.0,32.0,4.0424785399486726e-11,4.227431001468556e-11,1.849524615198832e-12,1.849524615198832e-12,-2.527278174463104e-13,2.1022524326451425e-12,4.41946529056242e-24,4.9308005849525565e-05,0.004930800584952557,52,52,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,30,30,31,30.0,32.0,31.0,33.0,33.0,4.227431001468556e-11,2.7761397495850796e-11,-1.4512912518834762e-11,1.4512912518834762e-11,-2.527278174463104e-13,-1.4260184701388451e-11,2.0335286771771322e-22,0.0022688093992625923,0.22688093992625924,22,22,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,31,31,32,31.0,33.0,32.0,34.0,34.0,2.7761397495850796e-11,3.996241005951425e-11,1.2201012563663452e-11,1.2201012563663452e-11,-2.527278174463104e-13,1.2453740381109762e-11,1.5509564948008392e-22,0.001730403270307556,0.17304032703075561,25,24,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,32,32,33,32.0,34.0,33.0,35.0,35.0,3.996241005951425e-11,2.265024619992237e-11,-1.7312163859591876e-11,1.7312163859591876e-11,-2.527278174463104e-13,-1.7059436042145567e-11,2.910243580760552e-22,0.0032469608441120707,0.32469608441120706,16,17,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,33,33,34,33.0,35.0,34.0,36.0,36.0,2.265024619992237e-11,2.5048212188368973e-11,2.397965988446602e-12,2.397965988446602e-12,-2.527278174463104e-13,2.6506938058929123e-12,7.026177652599053e-24,7.839111431285191e-05,0.007839111431285191,51,51,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,34,34,35,34.0,36.0,35.0,37.0,37.0,2.5048212188368973e-11,2.904383151105703e-11,3.9956193226880555e-12,3.9956193226880555e-12,-2.527278174463104e-13,4.248347140134366e-12,1.8048453423087845e-23,0.00020136672390230553,0.020136672390230554,44,44,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,35,35,36,35.0,37.0,36.0,38.0,38.0,2.904383151105703e-11,3.194172801537068e-11,2.8978965043136516e-12,2.8978965043136516e-12,-2.527278174463104e-13,3.150624321759962e-12,9.926433616865421e-24,0.00011074929084532754,0.011074929084532753,49,47,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,36,36,37,36.0,38.0,37.0,39.0,39.0,3.194172801537068e-11,4.85045374499518e-11,1.6562809434581118e-11,1.6562809434581118e-11,-2.527278174463104e-13,1.6815537252027427e-11,2.827622930743221e-22,0.003154780925807345,0.3154780925807345,19,18,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,37,37,38,37.0,39.0,38.0,40.0,40.0,4.85045374499518e-11,8.266677780804465e-11,3.416224035809285e-11,3.416224035809285e-11,-2.527278174463104e-13,3.441496817553916e-11,1.184390034523373e-21,0.013214248084515743,1.3214248084515743,6,6,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,38,38,39,38.0,40.0,39.0,41.0,41.0,8.266677780804465e-11,4.228726778557154e-11,-4.037951002247311e-11,4.037951002247311e-11,-2.527278174463104e-13,-4.01267822050268e-11,1.6101586501296555e-21,0.017964551573422048,1.7964551573422047,4,4,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,39,39,40,39.0,41.0,40.0,42.0,42.0,4.228726778557154e-11,7.570607472829475e-11,3.341880694272321e-11,3.341880694272321e-11,-2.527278174463104e-13,3.367153476016952e-11,1.1337722531053043e-21,0.012649505135276623,1.2649505135276624,7,7,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,40,40,41,40.0,42.0,41.0,43.0,43.0,7.570607472829475e-11,4.013248301385884e-11,-3.5573591714435906e-11,3.5573591714435906e-11,-2.527278174463104e-13,-3.53208638969896e-11,1.2475634264296632e-21,0.01391907406975463,1.391907406975463,5,5,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,41,41,42,41.0,43.0,42.0,44.0,44.0,4.013248301385884e-11,4.425320605324195e-11,4.120723039383108e-12,4.120723039383108e-12,-2.527278174463104e-13,4.373450856829418e-12,1.912707239710197e-23,0.0002134008835083717,0.02134008835083717,43,43,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,42,42,43,42.0,44.0,43.0,45.0,45.0,4.425320605324195e-11,4.713757801700253e-11,2.8843719637605817e-12,2.8843719637605817e-12,-2.527278174463104e-13,3.1370997812068922e-12,9.841395037248331e-24,0.00010980051480444563,0.010980051480444562,50,48,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,43,43,44,43.0,45.0,44.0,46.0,46.0,4.713757801700253e-11,6.55935563093422e-11,1.8455978292339663e-11,1.8455978292339663e-11,-2.527278174463104e-13,1.8708706109785972e-11,3.5001568430234297e-22,0.003905127492654049,0.3905127492654049,15,15,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,44,44,45,44.0,46.0,45.0,47.0,47.0,6.55935563093422e-11,8.604468211491684e-11,2.0451125805574643e-11,2.0451125805574643e-11,-2.527278174463104e-13,2.0703853623020952e-11,4.286495548434778e-22,0.004782446148576719,0.4782446148576719,14,14,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,45,45,46,45.0,47.0,46.0,48.0,48.0,8.604468211491684e-11,8.304990547928864e-11,-2.9947766356281993e-12,2.9947766356281993e-12,-2.527278174463104e-13,-2.742048818181889e-12,7.518831721292693e-24,8.388765928013848e-05,0.008388765928013847,48,50,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,46,46,47,46.0,48.0,47.0,49.0,49.0,8.304990547928864e-11,6.617174811957063e-11,-1.687815735971801e-11,1.687815735971801e-11,-2.527278174463104e-13,-1.66254295422717e-11,2.7640490746504066e-22,0.003083851529104187,0.3083851529104187,18,19,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,47,47,48,47.0,49.0,48.0,50.0,50.0,6.617174811957063e-11,4.2721571244968043e-11,-2.3450176874602585e-11,2.3450176874602585e-11,-2.527278174463104e-13,-2.3197449057156276e-11,5.381216427593606e-22,0.006003827016267433,0.6003827016267433,12,12,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,48,48,49,48.0,50.0,49.0,51.0,51.0,4.2721571244968043e-11,4.194756380159449e-11,-7.740074433735522e-13,7.740074433735522e-13,-2.527278174463104e-13,-5.212796259272418e-13,2.717324484068451e-25,3.03172086998007e-06,0.000303172086998007,55,56,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,49,49,50,49.0,51.0,50.0,52.0,52.0,4.194756380159449e-11,2.7317217286231865e-11,-1.4630346515362626e-11,1.4630346515362626e-11,-2.527278174463104e-13,-1.4377618697916316e-11,2.0671591942267285e-22,0.0023063309911833434,0.23063309911833435,21,21,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,50,50,51,50.0,52.0,51.0,53.0,53.0,2.7317217286231865e-11,2.6730030422966533e-11,-5.871868632653317e-13,5.871868632653317e-13,-2.527278174463104e-13,-3.3445904581902133e-13,1.118628533301702e-25,1.2480546545138093e-06,0.00012480546545138094,56,57,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,51,51,52,51.0,53.0,52.0,54.0,54.0,2.6730030422966533e-11,1.7898612093770963e-11,-8.83141832919557e-12,8.83141832919557e-12,-2.527278174463104e-13,-8.57869051174926e-12,7.359393089637678e-23,0.0008210880132664941,0.08210880132664941,29,30,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,52,52,53,52.0,54.0,53.0,55.0,55.0,1.7898612093770963e-11,2.3450505677582405e-11,5.551893583811443e-12,5.551893583811443e-12,-2.527278174463104e-13,5.804621401257753e-12,3.369362961193952e-23,0.0003759200665168788,0.037592006651687875,39,39,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,53,53,54,53.0,55.0,54.0,56.0,56.0,2.3450505677582405e-11,3.009575341874941e-11,6.645247741167003e-12,6.645247741167003e-12,-2.527278174463104e-13,6.897975558613313e-12,4.758206680722665e-23,0.0005308734596181599,0.05308734596181599,35,35,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,54,54,55,54.0,56.0,55.0,57.0,57.0,3.009575341874941e-11,4.7055729043029044e-11,1.6959975624279636e-11,1.6959975624279636e-11,-2.527278174463104e-13,1.7212703441725944e-11,2.962771597728042e-22,0.003305566390204443,0.3305566390204443,17,16,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,55,55,56,55.0,57.0,56.0,58.0,58.0,4.7055729043029044e-11,4.783569606609416e-11,7.799670230651137e-13,7.799670230651137e-13,-2.527278174463104e-13,1.0326948405114242e-12,1.066458633618916e-24,1.1898486601320632e-05,0.0011898486601320632,54,54,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,56,56,57,56.0,58.0,57.0,59.0,59.0,4.783569606609416e-11,4.811581427883332e-11,2.8011821273916465e-13,2.8011821273916465e-13,-2.527278174463104e-13,5.328460301854751e-13,2.8392489188442026e-25,3.1677520490451236e-06,0.00031677520490451235,57,55,False,other
1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,57,57,58,57.0,59.0,58.0,60.0,60.0,4.811581427883332e-11,5.843671409417565e-11,1.0320899815342325e-11,1.0320899815342325e-11,-2.527278174463104e-13,1.0573627632788636e-11,1.118016013168714e-22,0.0012473712653634336,0.12473712653634336,27,27,False,other
