rule_id,subject,run,condition,configuration_id,feature_name,feature_unit,smoothing_id,threshold_id,threshold_value,dwell_updates,episode_index,command_state,episode_start_time_sec,episode_end_time_sec,episode_duration_sec,decision_update_count,first_window_index,last_window_index,first_decision_time_sec,last_decision_time_sec,start_event,end_event,is_initial_stop_episode,ended_at_run_boundary
thr-eo-q95__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,3,0,CMD_STOP,0.0,6.0,6.0,4,0,3,2.0,5.0,run_start,initial_command_confirmed,True,False
thr-eo-q95__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_eo_q95,8.270509057516904e-11,3,1,CMD_CLOSE,6.0,60.0,54.0,55,4,58,6.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,1,CMD_OPEN,2.0,26.0,24.0,24,0,23,2.0,25.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,2,CMD_CLOSE,26.0,27.0,1.0,1,24,24,26.0,26.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-gap-mid__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,3,CMD_OPEN,27.0,60.0,33.0,34,25,58,27.0,60.0,active_switch_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,1,1,CMD_CLOSE,2.0,60.0,58.0,59,0,58,2.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1,CMD_OPEN,3.0,60.0,57.0,58,1,58,3.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,2,1,CMD_CLOSE,3.0,60.0,57.0,58,1,58,3.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,1,CMD_OPEN,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_gap_midpoint,1.3987182661955795e-10,3,1,CMD_CLOSE,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,1,CMD_OPEN,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,1,1,CMD_CLOSE,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,1,CMD_OPEN,5.0,60.0,55.0,56,3,58,5.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,2,1,CMD_CLOSE,5.0,60.0,55.0,56,3,58,5.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,0,CMD_STOP,0.0,6.0,6.0,4,0,3,2.0,5.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,1,CMD_OPEN,6.0,60.0,54.0,55,4,58,6.0,60.0,initial_command_confirmed,run_end,False,True
thr-gap-mid__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,0,CMD_STOP,0.0,6.0,6.0,4,0,3,2.0,5.0,run_start,initial_command_confirmed,True,False
thr-gap-mid__smooth-median3__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_gap_midpoint,1.3987182661955795e-10,3,1,CMD_CLOSE,6.0,60.0,54.0,55,4,58,6.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,1,CMD_OPEN,2.0,60.0,58.0,59,0,58,2.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,0,CMD_STOP,0.0,2.0,2.0,0,,,,,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,1,CMD_CLOSE,2.0,6.0,4.0,4,0,3,2.0,5.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,2,CMD_OPEN,6.0,8.0,2.0,2,4,5,6.0,7.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,3,CMD_CLOSE,8.0,39.0,31.0,31,6,36,8.0,38.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,4,CMD_OPEN,39.0,40.0,1.0,1,37,37,39.0,39.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,1,5,CMD_CLOSE,40.0,60.0,20.0,21,38,58,40.0,60.0,active_switch_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,1,CMD_OPEN,3.0,60.0,57.0,58,1,58,3.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,0,CMD_STOP,0.0,3.0,3.0,1,0,0,2.0,2.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,1,CMD_CLOSE,3.0,7.0,4.0,4,1,4,3.0,6.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,2,CMD_OPEN,7.0,9.0,2.0,2,5,6,7.0,8.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-none__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,2,3,CMD_CLOSE,9.0,60.0,51.0,52,7,58,9.0,60.0,active_switch_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,1,CMD_OPEN,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-none__dwell-3,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-none,threshold_ec_q05,2.365528862351009e-10,3,1,CMD_CLOSE,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,1,CMD_OPEN,4.0,60.0,56.0,57,2,58,4.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,0,CMD_STOP,0.0,4.0,4.0,2,0,1,2.0,3.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,1,CMD_CLOSE,4.0,7.0,3.0,3,2,4,4.0,6.0,initial_command_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,2,CMD_OPEN,7.0,9.0,2.0,2,5,6,7.0,8.0,active_switch_confirmed,active_switch_confirmed,False,False
thr-ec-q05__smooth-median3__dwell-1,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,1,3,CMD_CLOSE,9.0,60.0,51.0,52,7,58,9.0,60.0,active_switch_confirmed,run_end,False,True
thr-ec-q05__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,1,CMD_OPEN,5.0,60.0,55.0,56,3,58,5.0,60.0,initial_command_confirmed,run_end,False,True
thr-ec-q05__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,0,CMD_STOP,0.0,5.0,5.0,3,0,2,2.0,4.0,run_start,initial_command_confirmed,True,False
thr-ec-q05__smooth-median3__dwell-2,1,2,baseline_eyes_closed,win-2s_step-1s,posterior_alpha_mean_psd,V^2/Hz,smooth-median3,threshold_ec_q05,2.365528862351009e-10,2,1,CMD_CLOSE,5.0,8.0,3.0,3,3,5,5.0,7.0,initial_command_confirmed,active_switch_confirmed,False,False
