rule_id,subject,run,condition,configuration_id,window_index,window_start_sec,window_end_sec,decision_time_sec,feature_name,feature_unit,raw_feature_value,smoothing_id,processed_feature_available,processed_feature_value,threshold_id,threshold_value,threshold_relative_margin,threshold_relative_margin_percent,evidence_state,evidence_episode_index,evidence_episode_update_count,evidence_episode_start_time_sec,evidence_episode_end_time_sec,evidence_episode_nominal_span_sec,dwell_updates,candidate_evidence_state,candidate_count,active_evidence_state,initial_command_confirmed,active_switch_confirmed,command_state,is_selected_24_26_window
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,25,25.0,27.0,27.0,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11,smooth-none,True,2.416687051052461e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.8272213132937994,-82.72213132937995,LOW_ALPHA,2,34,27.0,60.0,33.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,26,26.0,28.0,28.0,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11,smooth-none,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,2,34,27.0,60.0,33.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,27,27.0,29.0,29.0,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11,smooth-none,True,4.971198902653748e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.6445889767225906,-64.45889767225907,LOW_ALPHA,2,34,27.0,60.0,33.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,28,28.0,30.0,30.0,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11,smooth-none,True,7.183756823186374e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.4864043033679889,-48.64043033679889,LOW_ALPHA,2,34,27.0,60.0,33.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,21,21.0,23.0,23.0,posterior_alpha_mean_psd,V^2/Hz,2.839834363181843e-11,smooth-none,True,2.839834363181843e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7969688083858372,-79.69688083858372,LOW_ALPHA,0,24,2.0,25.0,23.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,22,22.0,24.0,24.0,posterior_alpha_mean_psd,V^2/Hz,3.5028042079973393e-11,smooth-none,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,0,24,2.0,25.0,23.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,23,23.0,25.0,25.0,posterior_alpha_mean_psd,V^2/Hz,3.958809706351897e-11,smooth-none,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,0,24,2.0,25.0,23.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,24,24.0,26.0,26.0,posterior_alpha_mean_psd,V^2/Hz,2.2324590666677288e-10,smooth-none,True,2.2324590666677288e-10,threshold_gap_midpoint,1.3987182661955795e-10,0.5960748641253314,59.60748641253314,HIGH_ALPHA,1,1,26.0,26.0,0.0,3,HIGH_ALPHA,1,LOW_ALPHA,False,False,CMD_OPEN,True
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,25,25.0,27.0,27.0,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11,smooth-none,True,2.416687051052461e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.8272213132937994,-82.72213132937995,LOW_ALPHA,2,34,27.0,60.0,33.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,26,26.0,28.0,28.0,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11,smooth-none,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,2,34,27.0,60.0,33.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,27,27.0,29.0,29.0,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11,smooth-none,True,4.971198902653748e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.6445889767225906,-64.45889767225907,LOW_ALPHA,2,34,27.0,60.0,33.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-none__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,28,28.0,30.0,30.0,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11,smooth-none,True,7.183756823186374e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.4864043033679889,-48.64043033679889,LOW_ALPHA,2,34,27.0,60.0,33.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,21,21.0,23.0,23.0,posterior_alpha_mean_psd,V^2/Hz,2.839834363181843e-11,smooth-median3,True,3.57952984169865e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7440850006603023,-74.40850006603023,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,22,22.0,24.0,24.0,posterior_alpha_mean_psd,V^2/Hz,3.5028042079973393e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,23,23.0,25.0,25.0,posterior_alpha_mean_psd,V^2/Hz,3.958809706351897e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,24,24.0,26.0,26.0,posterior_alpha_mean_psd,V^2/Hz,2.2324590666677288e-10,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,True
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,25,25.0,27.0,27.0,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,26,26.0,28.0,28.0,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,27,27.0,29.0,29.0,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11,smooth-median3,True,4.971198902653748e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.6445889767225906,-64.45889767225907,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-1,1,1,baseline_eyes_open,win-2s_step-1s,28,28.0,30.0,30.0,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,1,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,21,21.0,23.0,23.0,posterior_alpha_mean_psd,V^2/Hz,2.839834363181843e-11,smooth-median3,True,3.57952984169865e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7440850006603023,-74.40850006603023,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,22,22.0,24.0,24.0,posterior_alpha_mean_psd,V^2/Hz,3.5028042079973393e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,23,23.0,25.0,25.0,posterior_alpha_mean_psd,V^2/Hz,3.958809706351897e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,24,24.0,26.0,26.0,posterior_alpha_mean_psd,V^2/Hz,2.2324590666677288e-10,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,True
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,25,25.0,27.0,27.0,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,26,26.0,28.0,28.0,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,27,27.0,29.0,29.0,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11,smooth-median3,True,4.971198902653748e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.6445889767225906,-64.45889767225907,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-2,1,1,baseline_eyes_open,win-2s_step-1s,28,28.0,30.0,30.0,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,2,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,21,21.0,23.0,23.0,posterior_alpha_mean_psd,V^2/Hz,2.839834363181843e-11,smooth-median3,True,3.57952984169865e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7440850006603023,-74.40850006603023,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,22,22.0,24.0,24.0,posterior_alpha_mean_psd,V^2/Hz,3.5028042079973393e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,23,23.0,25.0,25.0,posterior_alpha_mean_psd,V^2/Hz,3.958809706351897e-11,smooth-median3,True,3.5028042079973393e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7495704251060699,-74.95704251060698,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,24,24.0,26.0,26.0,posterior_alpha_mean_psd,V^2/Hz,2.2324590666677288e-10,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,True
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,25,25.0,27.0,27.0,posterior_alpha_mean_psd,V^2/Hz,2.416687051052461e-11,smooth-median3,True,3.958809706351897e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.7169687561799278,-71.69687561799279,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,26,26.0,28.0,28.0,posterior_alpha_mean_psd,V^2/Hz,5.6201174431403715e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,27,27.0,29.0,29.0,posterior_alpha_mean_psd,V^2/Hz,4.971198902653748e-11,smooth-median3,True,4.971198902653748e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.6445889767225906,-64.45889767225907,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
thr-gap-mid__smooth-median3__dwell-3,1,1,baseline_eyes_open,win-2s_step-1s,28,28.0,30.0,30.0,posterior_alpha_mean_psd,V^2/Hz,7.183756823186374e-11,smooth-median3,True,5.6201174431403715e-11,threshold_gap_midpoint,1.3987182661955795e-10,-0.598195177758941,-59.819517775894106,LOW_ALPHA,1,57,4.0,60.0,56.0,3,,0,LOW_ALPHA,False,False,CMD_OPEN,False
