subject,run,condition,configuration_id,window_length_sec,step_size_sec,outer_window_overlap_fraction,welch_segment_count,window_index,window_start_sec,window_end_sec,window_center_sec,start_sample,stop_sample,n_samples,feature_name,feature_unit,posterior_alpha_mean_psd
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,5,5.0,7.0,6.0,800,1120,320,posterior_alpha_mean_psd,V^2/Hz,2.1305056869483822e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,6,6.0,8.0,7.0,960,1280,320,posterior_alpha_mean_psd,V^2/Hz,2.496702511753018e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,7,7.0,9.0,8.0,1120,1440,320,posterior_alpha_mean_psd,V^2/Hz,2.3875301618418144e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,8,8.0,10.0,9.0,1280,1600,320,posterior_alpha_mean_psd,V^2/Hz,4.064612839407884e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,9,9.0,11.0,10.0,1440,1760,320,posterior_alpha_mean_psd,V^2/Hz,3.0624414851171974e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,10,10.0,12.0,11.0,1600,1920,320,posterior_alpha_mean_psd,V^2/Hz,3.91968184503194e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,11,11.0,13.0,12.0,1760,2080,320,posterior_alpha_mean_psd,V^2/Hz,6.143468310832277e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,12,12.0,14.0,13.0,1920,2240,320,posterior_alpha_mean_psd,V^2/Hz,3.291174458083052e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,13,13.0,15.0,14.0,2080,2400,320,posterior_alpha_mean_psd,V^2/Hz,3.071999719849245e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,14,14.0,16.0,15.0,2240,2560,320,posterior_alpha_mean_psd,V^2/Hz,4.57740031650973e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,15,15.0,17.0,16.0,2400,2720,320,posterior_alpha_mean_psd,V^2/Hz,3.165693846654092e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,16,16.0,18.0,17.0,2560,2880,320,posterior_alpha_mean_psd,V^2/Hz,4.0801593611763825e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,17,17.0,19.0,18.0,2720,3040,320,posterior_alpha_mean_psd,V^2/Hz,2.7267030714894695e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,18,18.0,20.0,19.0,2880,3200,320,posterior_alpha_mean_psd,V^2/Hz,4.837383549996996e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,19,19.0,21.0,20.0,3040,3360,320,posterior_alpha_mean_psd,V^2/Hz,4.0683375490724504e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,20,20.0,22.0,21.0,3200,3520,320,posterior_alpha_mean_psd,V^2/Hz,4.147547405728506e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,21,21.0,23.0,22.0,3360,3680,320,posterior_alpha_mean_psd,V^2/Hz,7.450350395853333e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,22,22.0,24.0,23.0,3520,3840,320,posterior_alpha_mean_psd,V^2/Hz,6.602206671895991e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,23,23.0,25.0,24.0,3680,4000,320,posterior_alpha_mean_psd,V^2/Hz,3.7169424896807326e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,24,24.0,26.0,25.0,3840,4160,320,posterior_alpha_mean_psd,V^2/Hz,5.787210202493262e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,25,25.0,27.0,26.0,4000,4320,320,posterior_alpha_mean_psd,V^2/Hz,1.266098892772713e-09
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,26,26.0,28.0,27.0,4160,4480,320,posterior_alpha_mean_psd,V^2/Hz,7.232185410106892e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,27,27.0,29.0,28.0,4320,4640,320,posterior_alpha_mean_psd,V^2/Hz,9.066801657048639e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,28,28.0,30.0,29.0,4480,4800,320,posterior_alpha_mean_psd,V^2/Hz,7.072926861239779e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,29,29.0,31.0,30.0,4640,4960,320,posterior_alpha_mean_psd,V^2/Hz,5.038257003548005e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,30,30.0,32.0,31.0,4800,5120,320,posterior_alpha_mean_psd,V^2/Hz,7.383338855642272e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,31,31.0,33.0,32.0,4960,5280,320,posterior_alpha_mean_psd,V^2/Hz,5.530697443662959e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,32,32.0,34.0,33.0,5120,5440,320,posterior_alpha_mean_psd,V^2/Hz,2.519217703725816e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,33,33.0,35.0,34.0,5280,5600,320,posterior_alpha_mean_psd,V^2/Hz,5.258582337315854e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,34,34.0,36.0,35.0,5440,5760,320,posterior_alpha_mean_psd,V^2/Hz,5.832167315531251e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,35,35.0,37.0,36.0,5600,5920,320,posterior_alpha_mean_psd,V^2/Hz,3.9471830561962513e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,36,36.0,38.0,37.0,5760,6080,320,posterior_alpha_mean_psd,V^2/Hz,3.72063011557295e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,37,37.0,39.0,38.0,5920,6240,320,posterior_alpha_mean_psd,V^2/Hz,2.1675171669337586e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,38,38.0,40.0,39.0,6080,6400,320,posterior_alpha_mean_psd,V^2/Hz,5.269474959326561e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,39,39.0,41.0,40.0,6240,6560,320,posterior_alpha_mean_psd,V^2/Hz,5.310837576407506e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,40,40.0,42.0,41.0,6400,6720,320,posterior_alpha_mean_psd,V^2/Hz,6.327429691884095e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,41,41.0,43.0,42.0,6560,6880,320,posterior_alpha_mean_psd,V^2/Hz,4.97023771852284e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,42,42.0,44.0,43.0,6720,7040,320,posterior_alpha_mean_psd,V^2/Hz,9.84100124135573e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,43,43.0,45.0,44.0,6880,7200,320,posterior_alpha_mean_psd,V^2/Hz,1.0789681690257175e-09
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,44,44.0,46.0,45.0,7040,7360,320,posterior_alpha_mean_psd,V^2/Hz,4.2267578401317304e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,45,45.0,47.0,46.0,7200,7520,320,posterior_alpha_mean_psd,V^2/Hz,5.590404946629128e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,46,46.0,48.0,47.0,7360,7680,320,posterior_alpha_mean_psd,V^2/Hz,3.4919124949300497e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,47,47.0,49.0,48.0,7520,7840,320,posterior_alpha_mean_psd,V^2/Hz,9.177944459885127e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,48,48.0,50.0,49.0,7680,8000,320,posterior_alpha_mean_psd,V^2/Hz,8.037948884203086e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,49,49.0,51.0,50.0,7840,8160,320,posterior_alpha_mean_psd,V^2/Hz,4.795002023124394e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,50,50.0,52.0,51.0,8000,8320,320,posterior_alpha_mean_psd,V^2/Hz,1.0632212692942622e-09
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,51,51.0,53.0,52.0,8160,8480,320,posterior_alpha_mean_psd,V^2/Hz,8.134454191947062e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,52,52.0,54.0,53.0,8320,8640,320,posterior_alpha_mean_psd,V^2/Hz,6.827763821856042e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,53,53.0,55.0,54.0,8480,8800,320,posterior_alpha_mean_psd,V^2/Hz,2.9786114498442003e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,54,54.0,56.0,55.0,8640,8960,320,posterior_alpha_mean_psd,V^2/Hz,5.1547767330966e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,55,55.0,57.0,56.0,8800,9120,320,posterior_alpha_mean_psd,V^2/Hz,7.41497608551192e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,56,56.0,58.0,57.0,8960,9280,320,posterior_alpha_mean_psd,V^2/Hz,9.722727622657564e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,57,57.0,59.0,58.0,9120,9440,320,posterior_alpha_mean_psd,V^2/Hz,8.298304406235723e-10
1,2,baseline_eyes_closed,win-2s_step-1s,2.0,1.0,0.5,3,58,58.0,60.0,59.0,9280,9600,320,posterior_alpha_mean_psd,V^2/Hz,1.024777586324378e-09
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,0,0.0,1.0,0.5,0,160,160,posterior_alpha_mean_psd,V^2/Hz,1.6880811861843595e-10
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,1,1.0,2.0,1.5,160,320,160,posterior_alpha_mean_psd,V^2/Hz,4.192675706541833e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,2,2.0,3.0,2.5,320,480,160,posterior_alpha_mean_psd,V^2/Hz,1.827289103099241e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,3,3.0,4.0,3.5,480,640,160,posterior_alpha_mean_psd,V^2/Hz,1.5603198971729608e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,4,4.0,5.0,4.5,640,800,160,posterior_alpha_mean_psd,V^2/Hz,1.662887620603429e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,5,5.0,6.0,5.5,800,960,160,posterior_alpha_mean_psd,V^2/Hz,1.859960858709122e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,6,6.0,7.0,6.5,960,1120,160,posterior_alpha_mean_psd,V^2/Hz,2.113961133296371e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,7,7.0,8.0,7.5,1120,1280,160,posterior_alpha_mean_psd,V^2/Hz,3.843106304159832e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,8,8.0,9.0,8.5,1280,1440,160,posterior_alpha_mean_psd,V^2/Hz,2.7158280193527844e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,9,9.0,10.0,9.5,1440,1600,160,posterior_alpha_mean_psd,V^2/Hz,3.1948121247273053e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,10,10.0,11.0,10.5,1600,1760,160,posterior_alpha_mean_psd,V^2/Hz,1.5797738025272345e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,11,11.0,12.0,11.5,1760,1920,160,posterior_alpha_mean_psd,V^2/Hz,5.67339704276268e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,12,12.0,13.0,12.5,1920,2080,160,posterior_alpha_mean_psd,V^2/Hz,2.024107459625297e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,13,13.0,14.0,13.5,2080,2240,160,posterior_alpha_mean_psd,V^2/Hz,4.231499221081594e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,14,14.0,15.0,14.5,2240,2400,160,posterior_alpha_mean_psd,V^2/Hz,1.897549290443776e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,15,15.0,16.0,15.5,2400,2560,160,posterior_alpha_mean_psd,V^2/Hz,3.349199442317917e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,16,16.0,17.0,16.5,2560,2720,160,posterior_alpha_mean_psd,V^2/Hz,4.6824832342098065e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,17,17.0,18.0,17.5,2720,2880,160,posterior_alpha_mean_psd,V^2/Hz,3.651118193560224e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,18,18.0,19.0,18.5,2880,3040,160,posterior_alpha_mean_psd,V^2/Hz,5.841413879948485e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,19,19.0,20.0,19.5,3040,3200,160,posterior_alpha_mean_psd,V^2/Hz,4.004420765248198e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,20,20.0,21.0,20.5,3200,3360,160,posterior_alpha_mean_psd,V^2/Hz,3.427012395700187e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,21,21.0,22.0,21.5,3360,3520,160,posterior_alpha_mean_psd,V^2/Hz,4.833852904863936e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,22,22.0,23.0,22.5,3520,3680,160,posterior_alpha_mean_psd,V^2/Hz,2.3605505562524883e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,23,23.0,24.0,23.5,3680,3840,160,posterior_alpha_mean_psd,V^2/Hz,6.318362963307337e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,24,24.0,25.0,24.5,3840,4000,160,posterior_alpha_mean_psd,V^2/Hz,2.5904061399764442e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,25,25.0,26.0,25.5,4000,4160,160,posterior_alpha_mean_psd,V^2/Hz,1.11468237107072e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,26,26.0,27.0,26.5,4160,4320,160,posterior_alpha_mean_psd,V^2/Hz,4.670938143240178e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,27,27.0,28.0,27.5,4320,4480,160,posterior_alpha_mean_psd,V^2/Hz,2.918854197592255e-11
1,1,baseline_eyes_open,win-1s_step-1s,1.0,1.0,0.0,1,28,28.0,29.0,28.5,4480,4640,160,posterior_alpha_mean_psd,V^2/Hz,9.281517569354162e-11
